split,class,path,width,height,mode
training,Bedroom,dataset\training\Bedroom\image_0003.jpg,276,200,L
training,Bedroom,dataset\training\Bedroom\image_0004.jpg,267,200,L
training,Bedroom,dataset\training\Bedroom\image_0006.jpg,301,200,L
training,Bedroom,dataset\training\Bedroom\image_0007.jpg,267,200,L
training,Bedroom,dataset\training\Bedroom\image_0008.jpg,300,200,L
training,Bedroom,dataset\training\Bedroom\image_0011.jpg,267,200,L
training,Bedroom,dataset\training\Bedroom\image_0013.jpg,266,200,L
training,Bedroom,dataset\training\Bedroom\image_0014.jpg,267,200,L
training,Bedroom,dataset\training\Bedroom\image_0016.jpg,258,200,L
training,Bedroom,dataset\training\Bedroom\image_0017.jpg,262,200,L
training,Bedroom,dataset\training\Bedroom\image_0018.jpg,267,200,L
training,Bedroom,dataset\training\Bedroom\image_0019.jpg,267,200,L
training,Bedroom,dataset\training\Bedroom\image_0020.jpg,267,200,L
training,Bedroom,dataset\training\Bedroom\image_0021.jpg,299,200,L
training,Bedroom,dataset\training\Bedroom\image_0024.jpg,253,200,L
training,Bedroom,dataset\training\Bedroom\image_0026.jpg,253,200,L
training,Bedroom,dataset\training\Bedroom\image_0029.jpg,353,200,L
training,Bedroom,dataset\training\Bedroom\image_0030.jpg,257,200,L
training,Bedroom,dataset\training\Bedroom\image_0033.jpg,267,200,L
training,Bedroom,dataset\training\Bedroom\image_0034.jpg,267,200,L
training,Bedroom,dataset\training\Bedroom\image_0035.jpg,306,200,L
training,Bedroom,dataset\training\Bedroom\image_0037.jpg,252,200,L
training,Bedroom,dataset\training\Bedroom\image_0039.jpg,250,200,L
training,Bedroom,dataset\training\Bedroom\image_0040.jpg,301,200,L
training,Bedroom,dataset\training\Bedroom\image_0042.jpg,267,200,L
training,Bedroom,dataset\training\Bedroom\image_0043.jpg,267,200,L
training,Bedroom,dataset\training\Bedroom\image_0047.jpg,267,200,L
training,Bedroom,dataset\training\Bedroom\image_0049.jpg,269,200,L
training,Bedroom,dataset\training\Bedroom\image_0050.jpg,300,200,L
training,Bedroom,dataset\training\Bedroom\image_0052.jpg,300,220,L
training,Bedroom,dataset\training\Bedroom\image_0053.jpg,293,200,L
training,Bedroom,dataset\training\Bedroom\image_0054.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0056.jpg,301,200,L
training,Bedroom,dataset\training\Bedroom\image_0059.jpg,320,220,L
training,Bedroom,dataset\training\Bedroom\image_0060.jpg,334,220,L
training,Bedroom,dataset\training\Bedroom\image_0062.jpg,332,220,L
training,Bedroom,dataset\training\Bedroom\image_0063.jpg,337,220,L
training,Bedroom,dataset\training\Bedroom\image_0064.jpg,302,220,L
training,Bedroom,dataset\training\Bedroom\image_0066.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0067.jpg,220,237,L
training,Bedroom,dataset\training\Bedroom\image_0068.jpg,220,223,L
