experiment,model,transfer_strategy,best_val_accuracy,test_accuracy,macro_f1,weighted_f1,epochs_run
exp_FINAL_ensemble_9010,,,,0.9933184855233853,0.9937878314149502,0.9933056386682146,
exp_F7_ensemble_f3_f4_f6,,,,0.9896142433234422,0.9907823670858397,0.9895841857473737,
exp_F9_mega_ensemble,,,,0.9896142433234422,0.9907823670858397,0.9895841857473737,
exp_F5_ensemble_f3_f4,,,,0.9881305637982196,0.9894312376938004,0.9881198434623534,
exp_E5_ensemble_4way,,,,0.9866468842729971,0.9880504799862315,0.9866526887251574,
exp_FINAL_F4_9010,eva02_base_448,fine_tuning,0.9866369710467706,0.9866369710467706,0.9869791122920797,0.9865865043025136,6.0
exp_FINAL_swin_large_384_9010,swin_large_384,fine_tuning,0.9866369710467706,0.9866369710467706,0.9878033412751298,0.9864404038474684,8.0
exp_E4_ensemble_optimized_3way,,,,0.9851632047477745,0.9858979654714158,0.9851468757385343,
exp_E3_ensemble_C2_B_weighted,,,,0.9821958456973294,0.98405757180589,0.9821629990807385,
exp_E3_ensemble_Bheavy_C2_E2,,,,0.9821958456973294,0.98405757180589,0.9821629990807385,
exp_FINAL_F3_9010,convnextv2_large_22k,fine_tuning,0.9866369710467706,0.9821826280623608,0.9826466544814988,0.9821051323505208,8.0
exp_E3_ensemble_equal_C2_E2,,,,0.9792284866468842,0.9815421816331275,0.9791618959485102,
exp_F6_swin_large_384,swin_large_384,fine_tuning,0.9791666666666666,0.9777448071216617,0.9806203988335774,0.9776664208575155,13.0
exp_F8_beit_large_224,beit_large_224,fine_tuning,0.9747023809523809,0.9762611275964391,0.978685619184158,0.9763159039336694,14.0
exp_E3_ensemble_trio_C2_E1_E2,,,,0.9762611275964391,0.9795347352731977,0.9762093784895072,
exp_E3_ensemble_C2heavy_C2_E2,,,,0.9762611275964391,0.9791815956633577,0.9762548310306876,
exp_FINAL_F8_9010,beit_large_224,fine_tuning,0.9755011135857461,0.9755011135857461,0.9751622301246319,0.9752741377390192,9.0
exp_F3_convnextv2_large_288,convnextv2_large_22k,fine_tuning,0.9747023809523809,0.9747774480712166,0.9780572278613562,0.9746480804861426,24.0
exp_C2_convnext_tiny_regularized,convnext_tiny,fine_tuning,0.9672619047619048,0.9747774480712166,0.9766684398529597,0.9747644770288361,12.0
exp_E2_convnext_base_288,convnext_base,fine_tuning,0.9821428571428571,0.973293768545994,0.976263506260357,0.9732185101423563,17.0
exp_F4_eva02_base_448,eva02_base_448,fine_tuning,0.9791666666666666,0.973293768545994,0.9758334780786178,0.9732232275659657,17.0
exp_F2_convnextv2_base_22k,convnextv2_base_22k,fine_tuning,0.9717261904761905,0.973293768545994,0.9763850838070414,0.9732101308063219,15.0
exp_D1c_soft_voting_c2c1,,,,0.9703264094955489,0.973528089891266,0.9702953924334409,
exp_D1_soft_voting,,,,0.9703264094955489,0.9735416315425559,0.9702785562562384,
exp_D1c_soft_voting_c2c1,,,,0.9703264094955489,0.973528089891266,0.9702953924334409,
exp_E1_convnext_small_288,convnext_small,fine_tuning,0.9747023809523809,0.9688427299703264,0.9730362982397543,0.9686136519774803,12.0
exp_D1b_soft_voting_diverse,,,,0.9629080118694362,0.9662679391170613,0.9630857361538888,
exp_D1b_soft_voting_diverse,,,,0.9629080118694362,0.9662679391170613,0.9630857361538888,
exp_C1_convnext_tiny_intensive,convnext_tiny,fine_tuning,0.9598214285714286,0.9614243323442137,0.9644895710295585,0.9612771873161086,10.0
exp_F1_swin_tiny_c2recipe,swin_tiny_patch4_window7_224,fine_tuning,0.9613095238095238,0.9525222551928784,0.9568411329364391,0.9524096338512784,12.0
exp_B_convnext_tiny,convnext_tiny,fine_tuning,0.9449404761904762,0.9436201780415431,0.9477811823745176,0.9435341682851676,3.0
exp_B_deit_small_patch16_224,deit_small_patch16_224,fine_tuning,0.9404761904761905,0.9228486646884273,0.9213135421393648,0.9228939094168602,3.0
exp_B_regnety_008,regnety_008,fine_tuning,0.9092261904761905,0.9035608308605341,0.9015174884528364,0.9038965632502716,3.0
exp_B_resnet50,resnet50,fine_tuning,0.875,0.8649851632047477,0.8686837429794761,0.8658363282972102,3.0
exp_B_efficientnet_b0,efficientnet_b0,fine_tuning,0.8526785714285714,0.8590504451038575,0.8609483212119794,0.8587766324706041,3.0
exp_B_efficientnet_b3,efficientnet_b3,fine_tuning,0.8273809523809523,0.8427299703264095,0.8445797958753946,0.8415115456144397,3.0
exp_A3_efficientnet_b0,efficientnet_b0,fine_tuning,0.6889880952380952,0.6691394658753709,0.6596420270552642,0.6665139939660223,2.0
exp_A4_mobilenetv3_finetune,mobilenetv3_small_100,fine_tuning,0.7142857142857143,0.6691394658753709,0.6592390466352264,0.6664100638573548,3.0
exp_A2_mobilenetv3_small,mobilenetv3_small_100,feature_extraction,0.31845238095238093,0.2922848664688427,0.2758476529833732,0.2882752539934946,2.0
exp_A1_scratch_cnn,scratch_cnn,fine_tuning,0.2931547619047619,0.2818991097922849,0.212043096268976,0.23128006851104674,2.0
